Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
92,"Sunday, Jul 16",boxscore,DET,@,SEA,L,0,2,,41-51,3,6.0,Miller,Olson,Sewald,2:11,D,32368,.46,-,,AL Central,AL
93,"Monday, Jul 17",boxscore,DET,@,KCR,W,3,2,,42-51,3,5.0,White,Clarke,Lange,2:36,N,19440,.39,+,,AL Central,AL
94,"Tuesday, Jul 18",boxscore,DET,@,KCR,L,10,11,,42-52,3,6.0,Lynch,Skubal,,2:28,N,18448,.45,-,,AL Central,AL
95,"Wednesday, Jul 19",boxscore,DET,@,KCR,W,3,2,,43-52,3,6.0,Rodriguez,Yarbrough,Lange,2:12,N,17903,.37,+,,AL Central,AL
96,"Thursday, Jul 20",boxscore,DET,@,KCR,W,3,0,,44-52,3,5.0,Lorenzen,Greinke,Foley,2:07,D,11478,.39,++,,AL Central,AL
97,"Friday, Jul 21",boxscore,DET,,SDP,L,4,5,,44-53,3,6.0,Lugo,Olson,Hader,2:33,N,28834,.48,-,,AL Central,AL
98,"Saturday, Jul 22",boxscore,DET,,SDP,L,3,14,,44-54,3,7.0,Wolf,Englert,,2:47,N,31974,.39,--,,AL Central,AL
99,"Sunday, Jul 23",boxscore,DET,,SDP,W,3,1,,45-54,3,7.0,Faedo,Musgrove,Lange,2:26,D,24523,.27,+,,AL Central,AL
100,"Monday, Jul 24",boxscore,DET,,SFG,W,5,1,,46-54,3,7.0,Skubal,Stripling,,2:16,D,16907,.31,++,,AL Central,AL
101,"Tuesday, Jul 25",boxscore,DET,,LAA,L,6,7,10,46-55,3,7.0,Estévez,Lange,Loup,2:55,N,24856,.35,-,,AL Central,AL
102,"Thursday, Jul 27 (1)",boxscore,DET,,LAA,L,0,6,,46-56,3,7.5,Ohtani,Lorenzen,,2:16,D,,.30,--,,AL Central,AL
103,"Thursday, Jul 27 (2)",boxscore,DET,,LAA,L,4,11,,46-57,3,7.5,Sandoval,Manning,,2:59,D,30238,.28,---,,AL Central,AL
1,"Thursday, Mar 30",boxscore,CHW,@,HOU,W,3,2,,1-0,1,Tied,Graveman,Pressly,López,2:38,N,43032,.94,+,,AL Central,AL
2,"Friday, Mar 31",boxscore,CHW,@,HOU,L,3,6,,1-1,2,0.5,Martinez,Graveman,Montero,2:40,N,41453,1.01,-,,AL Central,AL
3,"Saturday, Apr 1",boxscore,CHW,@,HOU,L,4,6,,1-2,3,1.5,Stanek,Kelly,Neris,3:11,D,37519,.97,--,,AL Central,AL
4,"Sunday, Apr 2",boxscore,CHW,@,HOU,W,6,3,,2-2,3,1.5,Clevinger,Garcia,,3:06,D,42835,.89,+,,AL Central,AL
5,"Monday, Apr 3",boxscore,CHW,,SFG,L,3,12,,2-3,3,2.5,DeSclafani,Kopech,,2:36,D,34784,.93,-,,AL Central,AL
6,"Wednesday, Apr 5",boxscore,CHW,,SFG,W,7,3,,3-3,3,1.5,Cease,Webb,,2:49,D,15980,.89,+,,AL Central,AL
7,"Thursday, Apr 6",boxscore,CHW,,SFG,L,6,16,,3-4,3,2.0,Junis,Lynn,,2:50,D,18261,.88,-,,AL Central,AL
8,"Friday, Apr 7",boxscore,CHW,@,PIT,L,9,13,,3-5,3,2.5,Moreta,Diekman,Crowe,2:48,D,39167,.86,--,,AL Central,AL
9,"Saturday, Apr 8",boxscore,CHW,@,PIT,W,11,5,,4-5,3,2.5,Clevinger,Velasquez,,3:04,N,21162,.83,+,,AL Central,AL
10,"Sunday, Apr 9",boxscore,CHW,@,PIT,L,0,1,,4-6,3,2.5,Oviedo,Kopech,Bednar,2:21,D,10571,.87,-,,AL Central,AL
11,"Monday, Apr 10",boxscore,CHW,@,MIN,W,4,3,,5-6,3,2.0,Cease,Maeda,López,2:39,D,12078,.95,+,,AL Central,AL
12,"Tuesday, Apr 11",boxscore,CHW,@,MIN,L-wo,3,4,10,5-7,3,2.5,Jax,Scholtens,,2:23,N,16153,1.03,-,,AL Central,AL
13,"Wednesday, Apr 12",boxscore,CHW,@,MIN,L,1,3,,5-8,3,3.5,Gray,Giolito,Duran,2:37,D,17658,1.02,--,,AL Central,AL
14,"Friday, Apr 14",boxscore,CHW,,BAL,L,3,6,,5-9,3,5.0,Baumann,López,Bautista,2:58,N,18941,.82,---,,AL Central,AL
15,"Saturday, Apr 15",boxscore,CHW,,BAL,W-wo,7,6,10,6-9,3,4.0,Lambert,Gillaspie,,3:21,D,32091,.76,+,,AL Central,AL
16,"Sunday, Apr 16",boxscore,CHW,,BAL,L,4,8,,6-10,3,4.0,Baumann,Bummer,,2:46,D,13794,.81,-,,AL Central,AL
17,"Tuesday, Apr 18 (1)",boxscore,CHW,,PHI,L,4,7,,6-11,4,3.5,Wheeler,Lynn,Alvarado,2:43,D,,.75,--,,AL Central,AL
18,"Tuesday, Apr 18 (2)",boxscore,CHW,,PHI,W,3,0,,7-11,4,3.5,Giolito,Falter,López,2:09,D,12542,.70,+,,AL Central,AL
19,"Wednesday, Apr 19",boxscore,CHW,,PHI,L,2,5,,7-12,4,4.5,Walker,Clevinger,Alvarado,2:23,D,10149,.76,-,,AL Central,AL
20,"Friday, Apr 21",boxscore,CHW,@,TBR,L-wo,7,8,,7-13,4,4.0,Kelly,López,,2:51,N,17973,.70,--,,AL Central,AL
21,"Saturday, Apr 22",boxscore,CHW,@,TBR,L-wo,3,4,10,7-14,4,4.0,Cleavinger,Lambert,,2:53,D,22333,.72,---,,AL Central,AL
22,"Sunday, Apr 23",boxscore,CHW,@,TBR,L,1,4,,7-15,4,5.0,Eflin,Giolito,Fairbanks,2:02,D,22702,.65,----,,AL Central,AL
23,"Monday, Apr 24",boxscore,CHW,@,TOR,L,2,5,,7-16,4,6.0,Bassitt,Lynn,Romano,2:40,N,26293,.59,-----,,AL Central,AL
24,"Tuesday, Apr 25",boxscore,CHW,@,TOR,L,0,7,,7-17,4,7.0,Berríos,Clevinger,,2:24,N,28917,.57,------,,AL Central,AL
25,"Wednesday, Apr 26",boxscore,CHW,@,TOR,L,0,8,,7-18,4,7.0,Kikuchi,Kopech,,2:32,D,35069,.48,-------,,AL Central,AL
26,"Thursday, Apr 27",boxscore,CHW,,TBR,L,5,14,,7-19,4,8.0,McClanahan,Cease,,2:44,N,11060,.44,--------,,AL Central,AL
27,"Friday, Apr 28",boxscore,CHW,,TBR,L,2,3,,7-20,4,9.0,Poche,Graveman,Kelly,2:36,N,16681,.41,---------,,AL Central,AL
28,"Saturday, Apr 29",boxscore,CHW,,TBR,L,3,12,,7-21,4,9.0,Chirinos,Lynn,,2:53,N,28462,.35,----------,,AL Central,AL
29,"Sunday, Apr 30",boxscore,CHW,,TBR,W-wo,12,9,,8-21,4,9.0,Bummer,Beeks,,3:24,D,17049,.31,+,,AL Central,AL
30,"Tuesday, May 2",boxscore,CHW,,MIN,W-wo,3,2,10,9-21,4,8.0,Lambert,Thielbar,,2:44,N,13094,.39,++,,AL Central,AL
31,"Wednesday, May 3",boxscore,CHW,,MIN,W,6,4,,10-21,4,7.0,Santos,Jax,Middleton,2:42,N,11468,.45,+++,,AL Central,AL
32,"Thursday, May 4",boxscore,CHW,,MIN,L,3,7,12,10-22,4,8.0,Pagán,Colomé,,3:37,D,14650,.50,-,,AL Central,AL
33,"Friday, May 5",boxscore,CHW,@,CIN,W,5,4,,11-22,4,8.0,Lynn,Greene,López,2:30,N,23467,.35,+,,AL Central,AL
34,"Saturday, May 6",boxscore,CHW,@,CIN,L,3,5,,11-23,4,8.0,Law,Clevinger,Díaz,2:34,N,25543,.38,-,,AL Central,AL
35,"Sunday, May 7",boxscore,CHW,@,CIN,W,17,4,,12-23,4,7.0,Kopech,Ashcraft,,2:50,D,20338,.33,+,,AL Central,AL
36,"Monday, May 8",boxscore,CHW,@,KCR,L,5,12,,12-24,4,7.5,Cuas,Cease,,2:55,N,9814,.38,-,,AL Central,AL
37,"Tuesday, May 9",boxscore,CHW,@,KCR,W,4,2,,13-24,4,6.5,Giolito,Lyles,Graveman,2:02,N,11258,.39,+,,AL Central,AL
38,"Wednesday, May 10",boxscore,CHW,@,KCR,L,1,9,,13-25,4,7.5,Keller,Lynn,,2:21,N,12187,.41,-,,AL Central,AL
39,"Thursday, May 11",boxscore,CHW,@,KCR,L-wo,3,4,,13-26,4,8.5,Barlow,López,,2:20,D,20321,.35,--,,AL Central,AL
40,"Friday, May 12",boxscore,CHW,,HOU,L,1,5,,13-27,4,8.5,France,Kopech,,2:39,N,18673,.33,---,,AL Central,AL
41,"Saturday, May 13",boxscore,CHW,,HOU,W,3,1,,14-27,4,8.5,Kelly,Montero,Graveman,2:37,N,23242,.28,+,,AL Central,AL
42,"Sunday, May 14",boxscore,CHW,,HOU,L,3,4,,14-28,4,9.5,Brown,Giolito,Pressly,2:33,D,18347,.30,-,,AL Central,AL
43,"Tuesday, May 16",boxscore,CHW,,CLE,W,8,3,,15-28,4,9.0,Lynn,Bieber,,2:24,N,18459,.29,+,,AL Central,AL
44,"Wednesday, May 17",boxscore,CHW,,CLE,W,7,2,,16-28,4,8.0,Clevinger,Battenfield,,2:33,N,12241,.30,++,,AL Central,AL
45,"Thursday, May 18",boxscore,CHW,,CLE,L,1,3,,16-29,4,8.5,Sandlin,Cease,Clase,2:17,D,11900,.36,-,,AL Central,AL
46,"Friday, May 19",boxscore,CHW,,KCR,W,2,0,,17-29,4,7.5,Kopech,Greinke,Graveman,2:06,N,20329,.27,+,,AL Central,AL
47,"Saturday, May 20",boxscore,CHW,,KCR,W,5,1,,18-29,4,7.5,Giolito,Lyles,,2:21,D,23984,.30,++,,AL Central,AL
48,"Sunday, May 21",boxscore,CHW,,KCR,W,5,2,,19-29,4,6.5,Lynn,Castillo,Kelly,2:26,D,23556,.33,+++,,AL Central,AL
49,"Monday, May 22",boxscore,CHW,@,CLE,L,0,3,,19-30,4,6.5,Gaddis,Scholtens,Clase,2:16,N,13878,.43,-,,AL Central,AL
50,"Tuesday, May 23",boxscore,CHW,@,CLE,W,4,2,,20-30,4,5.5,Cease,Allen,Graveman,2:29,N,14524,.41,+,,AL Central,AL
51,"Wednesday, May 24",boxscore,CHW,@,CLE,W,6,0,,21-30,4,5.5,Kopech,Quantrill,,2:08,D,17767,.47,++,,AL Central,AL
52,"Thursday, May 25",boxscore,CHW,@,DET,L,2,7,,21-31,4,6.0,Faedo,Giolito,,2:45,N,15003,.54,-,,AL Central,AL
53,"Friday, May 26",boxscore,CHW,@,DET,W,12,3,,22-31,4,5.0,Lynn,Wentz,,2:41,N,21701,.48,+,,AL Central,AL
54,"Saturday, May 27",boxscore,CHW,@,DET,L,3,7,,22-32,4,6.0,Foley,Kelly,,2:36,D,24685,.55,-,,AL Central,AL
55,"Sunday, May 28",boxscore,CHW,@,DET,L-wo,5,6,10,22-33,4,6.0,Lange,López,,3:13,D,22644,.49,--,,AL Central,AL
56,"Monday, May 29",boxscore,CHW,,LAA,L,4,6,,22-34,4,7.0,Canning,Kopech,Estévez,2:49,N,23599,.35,---,,AL Central,AL
57,"Tuesday, May 30",boxscore,CHW,,LAA,W,7,3,,23-34,4,6.0,Giolito,Anderson,,2:43,N,22135,.30,+,,AL Central,AL
58,"Wednesday, May 31",boxscore,CHW,,LAA,L,5,12,,23-35,4,7.0,Barria,Lynn,Davidson,2:47,D,17015,.33,-,,AL Central,AL
59,"Friday, Jun 2",boxscore,CHW,,DET,W,3,0,,24-35,4,7.5,Middleton,Olson,Graveman,2:32,N,20229,.35,+,,AL Central,AL
60,"Saturday, Jun 3",boxscore,CHW,,DET,W-wo,2,1,10,25-35,4,6.5,López,Cisnero,,2:42,D,24674,.37,++,,AL Central,AL
61,"Sunday, Jun 4",boxscore,CHW,,DET,W-wo,6,2,,26-35,4,5.5,Hendriks,Lange,,2:29,D,23372,.44,+++,,AL Central,AL
62,"Tuesday, Jun 6",boxscore,CHW,@,NYY,W,3,2,,27-35,4,4.5,Giolito,Schmidt,Hendriks,2:28,N,38049,.41,++++,,AL Central,AL
63,"Thursday, Jun 8 (1)",boxscore,CHW,@,NYY,W,6,5,,28-35,3,3.5,Santos,King,Graveman,2:46,N,,.52,+++++,,AL Central,AL
64,"Thursday, Jun 8 (2)",boxscore,CHW,@,NYY,L,0,3,,28-36,3,3.5,Vásquez,Clevinger,Holmes,2:27,N,40659,.56,-,,AL Central,AL
65,"Friday, Jun 9",boxscore,CHW,,MIA,W-wo,2,1,,29-36,3,3.5,Hendriks,Floro,,2:27,N,21033,.50,+,,AL Central,AL
66,"Saturday, Jun 10",boxscore,CHW,,MIA,L,1,5,,29-37,3,4.5,Okert,Kelly,,2:55,D,25793,.56,-,,AL Central,AL
67,"Sunday, Jun 11",boxscore,CHW,,MIA,L,5,6,,29-38,3,4.5,Hoeing,Graveman,Puk,2:37,D,20888,.47,--,,AL Central,AL
68,"Tuesday, Jun 13",boxscore,CHW,@,LAD,L,1,5,,29-39,3,5.5,Gonsolin,Lynn,,2:28,N,45561,.45,---,,AL Central,AL
69,"Wednesday, Jun 14",boxscore,CHW,@,LAD,W,8,4,,30-39,3,5.5,López,Vesia,,3:15,N,44442,.42,+,,AL Central,AL
70,"Thursday, Jun 15",boxscore,CHW,@,LAD,L-wo,4,5,11,30-40,3,5.5,Ferguson,Crochet,,3:20,N,48655,.45,-,,AL Central,AL
71,"Friday, Jun 16",boxscore,CHW,@,SEA,L,2,3,,30-41,4,5.5,Brash,Banks,Sewald,2:52,N,36061,.41,--,,AL Central,AL
72,"Saturday, Jun 17",boxscore,CHW,@,SEA,W,4,3,11,31-41,3,5.5,Bummer,Saucedo,Scholtens,3:38,D,45188,.40,+,,AL Central,AL
73,"Sunday, Jun 18",boxscore,CHW,@,SEA,L,1,5,,31-42,4,5.5,Miller,Lynn,,2:21,D,44772,.43,-,,AL Central,AL
74,"Monday, Jun 19",boxscore,CHW,,TEX,L,2,5,,31-43,4,5.5,Heaney,Banks,Smith,2:47,N,19554,.40,--,,AL Central,AL
75,"Tuesday, Jun 20",boxscore,CHW,,TEX,W,7,6,,32-43,4,4.5,Graveman,Anderson,,2:55,N,21048,.37,+,,AL Central,AL
76,"Wednesday, Jun 21",boxscore,CHW,,TEX,L,3,6,,32-44,4,5.5,Pérez,Kopech,,2:26,N,18963,.43,-,,AL Central,AL
77,"Friday, Jun 23",boxscore,CHW,,BOS,L,1,3,,32-45,4,7.0,Bello,Giolito,Jansen,2:27,N,27015,.28,--,,AL Central,AL
78,"Saturday, Jun 24",boxscore,CHW,,BOS,W-wo,5,4,,33-45,4,6.0,Graveman,Jansen,,2:46,D,33054,.28,+,,AL Central,AL
79,"Sunday, Jun 25",boxscore,CHW,,BOS,W,4,1,,34-45,4,6.0,Scholtens,Crawford,Middleton,2:36,D,26077,.31,++,,AL Central,AL
80,"Monday, Jun 26",boxscore,CHW,@,LAA,L-wo,1,2,,34-46,4,6.0,Estévez,López,,2:17,N,28554,.36,-,,AL Central,AL
81,"Tuesday, Jun 27",boxscore,CHW,@,LAA,L,2,4,,34-47,4,6.0,Ohtani,Kopech,Estévez,2:54,N,33637,.34,--,,AL Central,AL
82,"Wednesday, Jun 28",boxscore,CHW,@,LAA,W,11,5,,35-47,4,5.5,Giolito,Barria,,2:45,N,29861,.29,+,,AL Central,AL
83,"Thursday, Jun 29",boxscore,CHW,@,LAA,W,9,7,,36-47,4,4.5,Lynn,Sandoval,,2:51,D,27630,.36,++,,AL Central,AL
84,"Friday, Jun 30",boxscore,CHW,@,OAK,L,4,7,,36-48,4,5.5,Medina,Banks,May,2:34,N,14181,.38,-,,AL Central,AL
85,"Saturday, Jul 1",boxscore,CHW,@,OAK,L-wo,6,7,10,36-49,4,6.5,Fujinami,Graveman,,3:20,D,9235,.35,--,,AL Central,AL
86,"Sunday, Jul 2",boxscore,CHW,@,OAK,W,8,7,,37-49,4,5.5,Bummer,Blackburn,Santos,2:56,D,12107,.28,+,,AL Central,AL
87,"Tuesday, Jul 4",boxscore,CHW,,TOR,L,3,4,,37-50,4,7.0,Pearson,Kelly,Romano,2:43,N,32607,.32,-,,AL Central,AL
88,"Thursday, Jul 6 (1)",boxscore,CHW,,TOR,L,2,6,11,37-51,4,8.5,Romano,Bummer,García,3:05,N,,.25,--,,AL Central,AL
89,"Thursday, Jul 6 (2)",boxscore,CHW,,TOR,L,4,5,,37-52,4,8.5,Jackson,Padilla,Pearson,2:33,N,20258,.21,---,,AL Central,AL
90,"Friday, Jul 7",boxscore,CHW,,STL,W,8,7,,38-52,4,7.5,Middleton,Leahy,Graveman,2:57,N,27569,.16,+,,AL Central,AL
91,"Saturday, Jul 8",boxscore,CHW,,STL,L,0,3,,38-53,4,8.0,Mikolas,Toussaint,Hicks,2:28,D,26560,.19,-,,AL Central,AL
92,"Sunday, Jul 9",boxscore,CHW,,STL,L,3,4,10,38-54,4,8.0,Romero,Middleton,,2:43,D,29769,.16,--,,AL Central,AL
93,"Friday, Jul 14",boxscore,CHW,@,ATL,L,0,9,,38-55,4,8.5,Morton,Kopech,,2:32,N,42782,.16,---,,AL Central,AL
94,"Saturday, Jul 15",boxscore,CHW,@,ATL,W,6,5,,39-55,4,8.5,Lynn,Strider,Graveman,2:44,N,43344,.12,+,,AL Central,AL
95,"Sunday, Jul 16",boxscore,CHW,@,ATL,W,8,1,,40-55,4,8.5,Cease,Allard,,2:44,D,40174,.14,++,,AL Central,AL
96,"Tuesday, Jul 18",boxscore,CHW,@,NYM,L,10,11,,40-56,4,9.0,Hartwig,Giolito,Robertson,3:28,N,37109,.17,-,,AL Central,AL
97,"Wednesday, Jul 19",boxscore,CHW,@,NYM,L,1,5,,40-57,4,10.0,Verlander,Toussaint,,2:06,N,34873,.12,--,,AL Central,AL
98,"Thursday, Jul 20",boxscore,CHW,@,NYM,W,6,2,,41-57,4,9.0,Kopech,Quintana,,2:37,D,34751,.09,+,,AL Central,AL
99,"Friday, Jul 21",boxscore,CHW,@,MIN,L,4,9,,41-58,4,10.0,Ryan,Lynn,,2:20,N,31339,.18,-,,AL Central,AL
100,"Saturday, Jul 22",boxscore,CHW,@,MIN,L,2,3,,41-59,4,11.0,Balazovic,Middleton,Duran,2:39,N,30894,.12,--,,AL Central,AL
101,"Sunday, Jul 23",boxscore,CHW,@,MIN,L-wo,4,5,12,41-60,4,12.0,Pagán,Scholtens,,3:28,D,29001,.08,---,,AL Central,AL
102,"Tuesday, Jul 25",boxscore,CHW,,CHC,L,3,7,,41-61,4,12.5,Hendricks,Kopech,Alzolay,2:42,N,37079,.03,----,,AL Central,AL
103,"Wednesday, Jul 26",boxscore,CHW,,CHC,L,7,10,,41-62,4,12.5,Assad,Kelly,Alzolay,3:18,N,37214,.03,-----,,AL Central,AL
104,"Thursday, Jul 27",boxscore,CHW,,CLE,L,3,6,,41-63,4,13.0,Bibee,Cease,Clase,2:49,N,20893,.03,------,,AL Central,AL
1,"Thursday, Mar 30",boxscore,KCR,,MIN,L,0,2,,0-1,3,1.0,López,Greinke,Duran,2:32,D,38351,1.00,-,,AL Central,AL
2,"Saturday, Apr 1",boxscore,KCR,,MIN,L,0,2,,0-2,4,2.0,Gray,Lyles,López,2:18,D,16633,.96,--,,AL Central,AL
3,"Sunday, Apr 2",boxscore,KCR,,MIN,L,4,7,,0-3,4,3.0,Ryan,Keller,,2:35,D,14589,.93,---,,AL Central,AL
4,"Monday, Apr 3",boxscore,KCR,,TOR,W,9,5,,1-3,4,3.0,Singer,Berríos,,2:37,N,10810,.79,+,,AL Central,AL
5,"Tuesday, Apr 4",boxscore,KCR,,TOR,L,1,4,,1-4,5,3.0,Kikuchi,Bubic,Romano,2:32,N,12123,.80,-,,AL Central,AL
6,"Wednesday, Apr 5",boxscore,KCR,,TOR,L,0,3,,1-5,5,3.5,Manoah,Greinke,Romano,2:17,N,10015,.77,--,,AL Central,AL
7,"Thursday, Apr 6",boxscore,KCR,,TOR,L,3,6,,1-6,5,4.0,Gausman,Lyles,Cimber,2:30,D,10401,.74,---,,AL Central,AL
8,"Friday, Apr 7",boxscore,KCR,@,SFG,W,3,1,,2-6,5,3.5,Keller,Cobb,Barlow,2:23,D,40711,.66,+,,AL Central,AL
9,"Saturday, Apr 8",boxscore,KCR,@,SFG,W,6,5,,3-6,4,3.5,Clarke,Doval,Chapman,2:23,D,35126,.69,++,,AL Central,AL
10,"Sunday, Apr 9",boxscore,KCR,@,SFG,L,1,3,,3-7,4,3.5,Brebbia,Yarbrough,Rogers,2:15,D,30207,.75,-,,AL Central,AL
11,"Monday, Apr 10",boxscore,KCR,@,TEX,L,2,11,,3-8,4,4.0,Heaney,Greinke,,2:30,N,17430,.78,--,,AL Central,AL
12,"Tuesday, Apr 11",boxscore,KCR,@,TEX,L-wo,5,8,10,3-9,4,4.5,Ragans,Barlow,,2:51,N,17760,.71,---,,AL Central,AL
13,"Wednesday, Apr 12",boxscore,KCR,@,TEX,W,10,1,,4-9,4,4.5,Keller,Eovaldi,,2:24,N,18380,.69,+,,AL Central,AL
14,"Friday, Apr 14",boxscore,KCR,,ATL,L,3,10,,4-10,5,6.0,Morton,Singer,,2:22,N,20186,.66,-,,AL Central,AL
15,"Saturday, Apr 15",boxscore,KCR,,ATL,L,3,9,,4-11,5,6.0,Elder,Bubic,,2:48,D,17644,.56,--,,AL Central,AL
16,"Sunday, Apr 16",boxscore,KCR,,ATL,L,4,5,,4-12,5,6.0,Anderson,Barlow,Minter,2:21,D,22040,.59,---,,AL Central,AL
17,"Monday, Apr 17",boxscore,KCR,,TEX,L,0,4,,4-13,5,6.5,Dunning,Lyles,,2:02,N,11068,.54,----,,AL Central,AL
18,"Tuesday, Apr 18",boxscore,KCR,,TEX,L,2,12,,4-14,5,6.5,Eovaldi,Keller,,2:40,N,12118,.51,-----,,AL Central,AL
19,"Wednesday, Apr 19",boxscore,KCR,,TEX,L,3,12,,4-15,5,7.5,Pérez,Singer,,2:40,D,10388,.44,------,,AL Central,AL
20,"Friday, Apr 21",boxscore,KCR,@,LAA,L,0,2,,4-16,5,7.0,Ohtani,Yarbrough,Quijada,2:03,N,44741,.40,-------,,AL Central,AL
21,"Saturday, Apr 22",boxscore,KCR,@,LAA,W,11,8,,5-16,5,6.0,Cuas,Quijada,Barlow,2:40,N,44148,.36,+,,AL Central,AL
22,"Sunday, Apr 23",boxscore,KCR,@,LAA,L,3,4,,5-17,5,7.0,Warren,Lyles,Estévez,2:11,D,36016,.43,-,,AL Central,AL
23,"Monday, Apr 24",boxscore,KCR,@,ARI,L,4,5,,5-18,5,8.0,Chafin,Chapman,,2:56,N,9815,.35,--,,AL Central,AL
24,"Tuesday, Apr 25",boxscore,KCR,@,ARI,W,5,4,,6-18,5,8.0,Singer,Nelson,Barlow,2:42,N,13835,.31,+,,AL Central,AL
25,"Wednesday, Apr 26",boxscore,KCR,@,ARI,L,0,2,,6-19,5,8.0,Gallen,Yarbrough,Chafin,2:31,D,14343,.36,-,,AL Central,AL
26,"Thursday, Apr 27",boxscore,KCR,@,MIN,L,1,7,,6-20,5,9.0,Stewart,Greinke,,2:22,N,12862,.39,--,,AL Central,AL
27,"Friday, Apr 28",boxscore,KCR,@,MIN,L,6,8,,6-21,5,10.0,López,Lyles,López,2:38,D,11754,.32,---,,AL Central,AL
28,"Saturday, Apr 29",boxscore,KCR,@,MIN,W,3,2,,7-21,4,9.0,Chapman,Duran,Barlow,2:50,D,22883,.31,+,,AL Central,AL
29,"Sunday, Apr 30",boxscore,KCR,@,MIN,L,4,8,,7-22,5,10.0,Gray,Singer,Duran,2:50,D,17150,.36,-,,AL Central,AL
30,"Tuesday, May 2",boxscore,KCR,,BAL,L,7,11,,7-23,5,10.0,Wells,Yarbrough,,3:04,N,10487,.25,--,,AL Central,AL
31,"Wednesday, May 3",boxscore,KCR,,BAL,W,6,0,,8-23,5,9.0,Greinke,Gibson,,1:59,N,10362,.21,+,,AL Central,AL
32,"Thursday, May 4",boxscore,KCR,,BAL,L,10,13,,8-24,5,10.0,Cano,Chapman,,3:24,D,11514,.25,-,,AL Central,AL
33,"Friday, May 5",boxscore,KCR,,OAK,L,8,12,,8-25,5,11.0,Muller,Keller,,3:11,N,15966,.19,--,,AL Central,AL
34,"Saturday, May 6",boxscore,KCR,,OAK,L,4,5,,8-26,5,11.0,Waldichuk,Singer,Jackson,3:16,N,29549,.15,---,,AL Central,AL
35,"Sunday, May 7",boxscore,KCR,,OAK,W,5,1,,9-26,5,10.0,Yarbrough,Miller,,2:21,D,12740,.13,+,,AL Central,AL
36,"Monday, May 8",boxscore,KCR,,CHW,W,12,5,,10-26,5,9.5,Cuas,Cease,,2:55,N,9814,.15,++,,AL Central,AL
37,"Tuesday, May 9",boxscore,KCR,,CHW,L,2,4,,10-27,5,9.5,Giolito,Lyles,Graveman,2:02,N,11258,.17,-,,AL Central,AL
38,"Wednesday, May 10",boxscore,KCR,,CHW,W,9,1,,11-27,5,9.5,Keller,Lynn,,2:21,N,12187,.17,+,,AL Central,AL
39,"Thursday, May 11",boxscore,KCR,,CHW,W-wo,4,3,,12-27,5,9.5,Barlow,López,,2:20,D,20321,.17,++,,AL Central,AL
40,"Friday, May 12",boxscore,KCR,@,MIL,L,1,5,,12-28,5,9.5,Burnes,Taylor,,2:44,N,24900,.20,-,,AL Central,AL
41,"Saturday, May 13",boxscore,KCR,@,MIL,L-wo,3,4,,12-29,5,10.5,Williams,Hernández,,2:43,N,35766,.17,--,,AL Central,AL
42,"Sunday, May 14",boxscore,KCR,@,MIL,L,6,9,,12-30,5,11.5,Lauer,Lyles,,2:44,D,33188,.16,---,,AL Central,AL
43,"Monday, May 15",boxscore,KCR,@,SDP,L,0,4,,12-31,5,11.5,Wacha,Keller,,2:36,N,43828,.12,----,,AL Central,AL
44,"Tuesday, May 16",boxscore,KCR,@,SDP,W,5,4,,13-31,5,11.5,Singer,Lugo,Barlow,2:30,N,36060,.10,+,,AL Central,AL
45,"Wednesday, May 17",boxscore,KCR,@,SDP,W,4,3,,14-31,5,10.5,Taylor,Darvish,Barlow,3:05,D,32416,.12,++,,AL Central,AL
46,"Friday, May 19",boxscore,KCR,@,CHW,L,0,2,,14-32,5,10.5,Kopech,Greinke,Graveman,2:06,N,20329,.16,-,,AL Central,AL
47,"Saturday, May 20",boxscore,KCR,@,CHW,L,1,5,,14-33,5,11.5,Giolito,Lyles,,2:21,D,23984,.12,--,,AL Central,AL
48,"Sunday, May 21",boxscore,KCR,@,CHW,L,2,5,,14-34,5,11.5,Lynn,Castillo,Kelly,2:26,D,23556,.11,---,,AL Central,AL
49,"Monday, May 22",boxscore,KCR,,DET,L,5,8,10,14-35,5,11.5,Lange,Barlow,Cisnero,3:22,N,14229,.10,----,,AL Central,AL
50,"Tuesday, May 23",boxscore,KCR,,DET,W,4,1,,15-35,5,10.5,Cuas,Rodriguez,Chapman,2:30,N,13443,.09,+,,AL Central,AL
51,"Wednesday, May 24",boxscore,KCR,,DET,L,4,6,,15-36,5,11.5,Vest,Taylor,Lange,2:56,N,11898,.10,-,,AL Central,AL
52,"Friday, May 26",boxscore,KCR,,WSN,L,10,12,,15-37,5,11.5,Corbin,Lyles,Kuhl,3:12,N,15878,.07,--,,AL Central,AL
53,"Saturday, May 27",boxscore,KCR,,WSN,L,2,4,,15-38,5,12.5,Thompson,Taylor,Finnegan,2:52,D,19130,.06,---,,AL Central,AL
54,"Sunday, May 28",boxscore,KCR,,WSN,W-wo,3,2,,16-38,5,11.5,Barlow,Kuhl,,2:35,D,18319,.04,+,,AL Central,AL
55,"Monday, May 29",boxscore,KCR,@,STL,W,7,0,,17-38,5,11.5,Mayers,Wainwright,,2:47,D,45911,.05,++,,AL Central,AL
