Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,W,L,cum_W,cum_L,WL_perc,Dd,DDD
65,"Friday, Jun 9",boxscore,OAK,@,MIL,W,5,2,,15-50,5,26.5,Medina,Houser,May,03:00:00,N,30657,0.0,+++,,1,0,10,55,15.384615384615385,"['Friday', ' Jun 9']",Jun 9
66,"Saturday, Jun 10",boxscore,OAK,@,MIL,W,2,1,10.0,16-50,5,26.5,Fujinami,Payamps,Long,03:07:00,D,35157,0.0,++++,,1,0,11,55,16.666666666666664,"['Saturday', ' Jun 10']",Jun 10
67,"Sunday, Jun 11",boxscore,OAK,@,MIL,W,8,6,,17-50,5,25.5,Sears,Peralta,Long,03:19:00,D,31363,0.0,+++++,,1,0,12,55,17.91044776119403,"['Sunday', ' Jun 11']",Jun 11
68,"Monday, Jun 12",boxscore,OAK,,TBR,W,4,3,,18-50,5,24.5,Kaprielian,Eflin,Waldichuk,02:31:00,N,4848,0.0,++++++,,1,0,13,55,19.11764705882353,"['Monday', ' Jun 12']",Jun 12
69,"Tuesday, Jun 13",boxscore,OAK,,TBR,W,2,1,,19-50,5,23.5,Harris,Poche,May,02:19:00,N,27759,0.0,+++++++,,1,0,14,55,20.28985507246377,"['Tuesday', ' Jun 13']",Jun 13
70,"Wednesday, Jun 14",boxscore,OAK,,TBR,L,3,6,,19-51,5,24.5,Glasnow,Medina,Adam,02:56:00,N,7055,0.0,-,,0,1,14,56,20.0,"['Wednesday', ' Jun 14']",Jun 14
71,"Thursday, Jun 15",boxscore,OAK,,TBR,L,3,4,,19-52,5,24.5,Stephenson,Pruitt,Fairbanks,02:55:00,D,7133,0.0,--,,0,1,14,57,19.718309859154928,"['Thursday', ' Jun 15']",Jun 15
72,"Friday, Jun 16",boxscore,OAK,,PHI,L,1,6,,19-53,5,24.5,Walker,Sears,,02:21:00,N,16084,0.0,---,,0,1,14,58,19.444444444444446,"['Friday', ' Jun 16']",Jun 16
73,"Saturday, Jun 17",boxscore,OAK,,PHI,L,2,3,12.0,19-54,5,25.5,Vasquez,Waldichuk,Hoffman,03:27:00,D,12015,0.0,----,,0,1,14,59,19.17808219178082,"['Saturday', ' Jun 17']",Jun 17
74,"Sunday, Jun 18",boxscore,OAK,,PHI,L,2,3,,19-55,5,26.5,Wheeler,Harris,Marte,02:35:00,D,24326,0.0,-----,,0,1,14,60,18.91891891891892,"['Sunday', ' Jun 18']",Jun 18
75,"Tuesday, Jun 20",boxscore,OAK,@,CLE,L-wo,2,3,10.0,19-56,5,27,De Los Santos,May,,02:57:00,N,17773,0.0,------,,0,1,14,61,18.666666666666668,"['Tuesday', ' Jun 20']",Jun 20
76,"Wednesday, Jun 21",boxscore,OAK,@,CLE,L,6,7,,19-57,5,28,Morgan,Pruitt,Clase,02:45:00,N,17853,0.0,-------,,0,1,14,62,18.421052631578945,"['Wednesday', ' Jun 21']",Jun 21
77,"Thursday, Jun 22",boxscore,OAK,@,CLE,L,1,6,,19-58,5,28.5,Sandlin,Sears,,02:28:00,D,23969,0.0,--------,,0,1,14,63,18.181818181818183,"['Thursday', ' Jun 22']",Jun 22
78,"Friday, Jun 23",boxscore,OAK,@,TOR,W,5,4,,20-58,5,28.5,Erceg,Romano,May,02:27:00,N,34988,0.0,+,,1,0,15,63,19.230769230769234,"['Friday', ' Jun 23']",Jun 23
79,"Saturday, Jun 24",boxscore,OAK,@,TOR,L,3,7,,20-59,5,28.5,Berríos,Fujinami,Romano,02:43:00,D,41720,0.0,-,,0,1,15,64,18.9873417721519,"['Saturday', ' Jun 24']",Jun 24
80,"Sunday, Jun 25",boxscore,OAK,@,TOR,L,1,12,,20-60,5,28.5,Kikuchi,Medina,,02:36:00,D,41069,0.0,--,,0,1,15,65,18.75,"['Sunday', ' Jun 25']",Jun 25
81,"Tuesday, Jun 27",boxscore,OAK,,NYY,W,2,1,,21-60,5,28,Blackburn,Brito,Moll,02:36:00,N,13050,0.0,+,,1,0,16,65,19.753086419753085,"['Tuesday', ' Jun 27']",Jun 27
82,"Wednesday, Jun 28",boxscore,OAK,,NYY,L,0,11,,21-61,5,29,Germán,Sears,,02:30:00,N,12479,0.0,-,,0,1,16,66,19.51219512195122,"['Wednesday', ' Jun 28']",Jun 28
83,"Thursday, Jun 29",boxscore,OAK,,NYY,L,4,10,,21-62,5,29,Schmidt,Harris,,02:47:00,D,14718,0.0,--,,0,1,16,67,19.27710843373494,"['Thursday', ' Jun 29']",Jun 29
84,"Friday, Jun 30",boxscore,OAK,,CHW,W,7,4,,22-62,5,28,Medina,Banks,May,02:34:00,N,14181,0.0,+,,1,0,17,67,20.238095238095237,"['Friday', ' Jun 30']",Jun 30
85,"Saturday, Jul 1",boxscore,OAK,,CHW,W-wo,7,6,10.0,23-62,5,28,Fujinami,Graveman,,03:20:00,D,9235,0.0,++,,0,1,17,68,20.0,"['Saturday', ' Jul 1']",Jul 1
86,"Sunday, Jul 2",boxscore,OAK,,CHW,L,7,8,,23-63,5,28,Bummer,Blackburn,Santos,02:56:00,D,12107,0.0,-,,0,1,17,69,19.767441860465116,"['Sunday', ' Jul 2']",Jul 2
87,"Tuesday, Jul 4",boxscore,OAK,@,DET,W,1,0,10.0,24-63,5,27.5,Fujinami,Holton,May,02:33:00,N,26749,0.0,+,,1,0,18,69,20.689655172413794,"['Tuesday', ' Jul 4']",Jul 4
88,"Wednesday, Jul 5",boxscore,OAK,@,DET,W,12,3,,25-63,5,26.5,Waldichuk,Rodriguez,,02:35:00,N,15149,0.0,++,,1,0,19,69,21.59090909090909,"['Wednesday', ' Jul 5']",Jul 5
89,"Thursday, Jul 6",boxscore,OAK,@,DET,L,0,9,,25-64,5,26.5,Lorenzen,Harris,,02:18:00,D,15133,0.0,-,,0,1,19,70,21.34831460674157,"['Thursday', ' Jul 6']",Jul 6
90,"Friday, Jul 7",boxscore,OAK,@,BOS,L,3,7,,25-65,5,27.5,Pivetta,Long,,02:21:00,N,31157,0.0,--,,0,1,19,71,21.11111111111111,"['Friday', ' Jul 7']",Jul 7
91,"Saturday, Jul 8",boxscore,OAK,@,BOS,L,3,10,,25-66,5,27.5,Paxton,Pruitt,Walter,02:42:00,D,34087,0.0,---,,0,1,19,72,20.87912087912088,"['Saturday', ' Jul 8']",Jul 8
92,"Sunday, Jul 9",boxscore,OAK,@,BOS,L,3,4,,25-67,5,27.5,Martin,Waldichuk,Jansen,03:05:00,D,35460,0.0,----,,0,1,19,73,20.652173913043477,"['Sunday', ' Jul 9']",Jul 9
93,"Friday, Jul 14",boxscore,OAK,,MIN,L,4,5,,25-68,5,28.5,Jax,Fujinami,Duran,03:28:00,N,7923,0.0,-----,,0,1,19,74,20.43010752688172,"['Friday', ' Jul 14']",Jul 14
94,"Saturday, Jul 15",boxscore,OAK,,MIN,L,7,10,,25-69,5,29.5,Moran,Tarnok,Duran,03:06:00,D,10534,0.0,------,,0,1,19,75,20.212765957446805,"['Saturday', ' Jul 15']",Jul 15
95,"Sunday, Jul 16",boxscore,OAK,,MIN,L,4,5,,25-70,5,30.5,López,Erceg,Duran,02:48:00,D,9335,0.0,-------,,0,1,19,76,20.0,"['Sunday', ' Jul 16']",Jul 16
96,"Monday, Jul 17",boxscore,OAK,,BOS,L,0,7,,25-71,5,31.5,Pivetta,Blackburn,,02:37:00,N,9987,0.0,--------,,0,1,19,77,19.791666666666664,"['Monday', ' Jul 17']",Jul 17
97,"Tuesday, Jul 18",boxscore,OAK,,BOS,W,3,0,,26-71,5,31.5,Medina,Jacques,May,02:15:00,N,10115,0.0,+,,1,0,20,77,20.618556701030926,"['Tuesday', ' Jul 18']",Jul 18
98,"Wednesday, Jul 19",boxscore,OAK,,BOS,W,6,5,,27-71,5,31.5,Felipe,Bello,May,02:43:00,D,15023,0.0,++,,1,0,21,77,21.428571428571427,"['Wednesday', ' Jul 19']",Jul 19
99,"Thursday, Jul 20",boxscore,OAK,,HOU,L,1,3,,27-72,5,32,France,Harris,Pressly,02:12:00,N,4757,0.0,-,,0,1,21,78,21.21212121212121,"['Thursday', ' Jul 20']",Jul 20
100,"Friday, Jul 21",boxscore,OAK,,HOU,L,4,6,,27-73,5,32,Valdez,Sears,Pressly,02:40:00,N,6810,0.0,--,,0,1,21,79,21.0,"['Friday', ' Jul 21']",Jul 21
101,"Saturday, Jul 22",boxscore,OAK,,HOU,W,4,1,,28-73,5,31,Pruitt,Javier,May,02:57:00,N,14507,0.0,+,,1,0,22,79,21.782178217821784,"['Saturday', ' Jul 22']",Jul 22
102,"Sunday, Jul 23",boxscore,OAK,,HOU,L,2,3,,28-74,5,32,Neris,Smith,Abreu,02:36:00,D,11231,0.0,-,,0,1,22,80,21.568627450980394,"['Sunday', ' Jul 23']",Jul 23
